7502001165489,A D KAN AMPOLLETAS INGERIBLES, CAJA CON 3 PIEZAS DE 3 ML,SON´S NATURAL,35.867,MR
7501070635596,A S COR 1 GRAMO GOTAS 24 ML,"LABORATORIOS SANFER, S.A. DE C.V.",163.625,MR
7501868980075,ABATELENGUAS DIBAR CON 500 PIEZAS ***,GRUPO DÍAZ B LUNA S.A. DE C.V.,106.5125,MR
7502004531267,ABATELENGUAS SELECTA BOLSA CON 500 PIEZAS ***,ARTÍCULOS MEXICANOS DE CURACIÓN S.A. DE C.V.,87.725,MR
7501385490217,AC FAST 500 MG TABLETAS 10 - PARACETAMOL 500 MG ,LABORATORIOS HORMONA S.A.P.I.,9.3,MR
7501328978710,ACANOL 2 MG TABLETAS 12,"LABORATORIOS SANFER, S.A. DE C.V.",80.736,MR
4015630018277,ACCU CHECK SOFTCLIX LANCETAS CON 25 PIEZAS ***,EYPRO S.A. DE C.V.,78.6,MR
4015630064076,ACCU CHEK ACTIVE TIRAS CON 50 PIEZAS - CADUCIDAD MAYO 2021 ***,EYPRO S.A. DE C.V.,240.487,MR
4015630981977,ACCU CHEK PERFORMANCE TIRAS CON 50 PIEZAS ***,EYPRO S.A. DE C.V.,290.4,MR
759684031175,ACEITE DE AGUACATE JALOMA 120 ML ***,"LABORATORIOS JALOMA, S.A. DE C.V.",30.5,MR
759684031205,ACEITE DE ALMENDRAS JALOMA 60 ML ***,"LABORATORIOS JALOMA, S.A. DE C.V.",13.97,MR
759684031656,ACEITE DE ARBOL DE TÉ JALOMA 120 ML ***,"LABORATORIOS JALOMA, S.A. DE C.V.",27.48,MR
759684031199,ACEITE DE ARGAN JALOMA 120 ML ***,LABORATORIOS JALOMA S.A. DE C.V.,32.875,MR
759684031144,ACEITE DE COCO JALOMA 120 ML ***,LABORATORIOS JALOMA S.A. DE C.V.,32.612,MR
759684031106,ACEITE DE OLIVO JALOMA 120 ML ***,"LABORATORIOS JALOMA, S.A. DE C.V.",12.96,MR
759684031052,ACEITE DE OLIVO JALOMA 60 ML ***,LABORATORIOS JALOMA S.A. DE C.V.,7.4732,MR
759684031250,ACEITE DE RICINO JALOMA 60 ML ***,"LABORATORIOS JALOMA, S.A. DE C.V.",13.8348,MR
759684154157,ACEITE JALOMA BABY OIL 120 ML ***,"LABORATORIOS JALOMA, S.A. DE C.V.",14.99,MR
759684031663,ACEITE JALOMA DE VITAMINA E 120 ML ***,"LABORATORIOS JALOMA, S.A. DE C.V.",31.08,MR
7501035908246,ACEITE MENNEN 100 ML ***,COLGATE PALMOLIVE S.A. DE C.V.,21.502,MR
7501035908253,ACEITE MENNEN 200 ML ***,COLGATE PALMOLIVE S.A. DE C.V.,37.49,MR
7501035908239,ACEITE MENNEN 50 ML ***,COLGATE PALMOLIVE S.A. DE C.V.,15.8746,MR
8907730000039,ACETIF SI 1000 MG SOLUCIÓN INYECTABLE 100 ML - PARACETAMOL,BAXTER,88.5,MR
759684437151,ACETONA JALOMA 120 ML ***,"LABORATORIOS JALOMA, S.A. DE C.V.",15.43,MR
759684431050,ACETONA JALOMA 60 ML ***,LABORATORIOS JALOMA S.A. DE C.V.,9.02144,MR
1306881052015,"ACICLODOL TABLETAS 20  - DICLOFENACO, COMPLEJO B",CMC - GIRARCAMP´S,41.1125,MR
8400007292,"ACICLOVIR 30 MG UNGÜENTO OFTÁLMICO, TUBO 5 GR. - LAB. GRIN","LABORATORIOS GRIN, S.A. DE C.V.",57.96,MR
7501165005709,ÁCIDO ACETILSALICÍLICO 500 MG TABLETAS 20 - SANOFI MEDLEY,SANOFI MEDLEY ,13.668,MR
7502010580983,ÁCIDO FÓLICO .5 MG TABLETAS 92 - SYDENHAM,SYDENHAM,33.12,MR
7502274790494,ÁCIDO FÓLICO 0.4 MG TABLETAS 90 - LOEFFLER,LOEFFER S.A. DE C.V.,13.8,MR
714908101065,ACTIKROLL VITAMINAS Y MINERALES JARABE 250 ML ***,SALUD NATURAL ,62.64,MR
7501318609020,ACTRON 600 MG CÁPSULAS 10,"BAYER DE MEXICO, S.A. DE C.V.",75.7625,MR
7501318634756,ACTRON 600 MG CÁPSULAS 30,"BAYER DE MEXICO, S.A. DE C.V.",234.84,MR
7501318634732,ACTRON PLUS 400/100 MG CÁPSULAS 10,"BAYER DE MEXICO, S.A. DE C.V.",91.49,MR
7502004400051,ADEKALS RETINOL - ERGOCALCIFEROL AMPOLLETAS INGERIBLES 3 ,OFFENBACH,27.05904,MR
7501314701940,ADEL 125 MG SUSPENSIÓN 60 ML,LABORATORIOS SENOSIAIN S.A. DE C.V.,338.24,MR
7501314701957,ADEL 250 MG SUSPENSIÓN 60 ML,LABORATORIOS SENOSIAIN S.A. DE C.V.,434.5,MR
7501314701964,ADEL 250 MG TABLETAS 10 ,LABORATORIOS SENOSIAIN S.A. DE C.V.,357.65,MR
7501314701926,ADEL 500 MG TABLETAS 10    ,LABORATORIOS SENOSIAIN S.A. DE C.V.,519.68,MR
7506339394733,ADHESIVO DENTAL FIXODENT PLUS 35 ML ***,"UNIVERSAL DISTRIBUTION, S.A. DE C.V",76.7,MR
7501089808936,"ADIMOD 400 MG SOLUCIÓN, CAJA CON 10 AMPOLLETAS DE 7 ML ","ARMSTRONG LABORATORIOS DE MEXICO, S",427.9875,MR
7501537100612,ADINOL JARABE INFANTIL 100 ML - PARACETAMOL,BRULUART S.A. DE C.V.,20.448,MR
725742761971,ADIOLOL 50 MG CÁPSULAS 10 - TRAMADOL,SBL PHARMACEUTICALS S. DE R.L. DE,21.5424,MR
7506335700354,ADIRIPEM 2 MG TABLETAS 30 - GLIMEPIRIDA,ACCORD FARMA S.A. DE C.V.,25.415,MR
7506335700378,ADIRIPEM 4 MG TABLETAS 30 - GLIMEPIRIDA ,ACCORD FARMA S.A. DE C.V.,28.405,MR
7502227426692,ADMIDOXIL 22.5 - 22.5 MG CÁPSULAS 10 - AMBROXOL - DEXTROMETORFANO,GELPHARMA S.A. DE C.V.,24.84,MR
7501842900099,ADOPREN 400 MG TABLETAS 10 - IBUPROFENO,LABORATORIOS GENÉTICA,13.8,MR
7501842900105,ADOPREN 600 MG TABLETAS 10 - IBUPROFENO,LABORATORIOS GENÉTICA,17.4,MR
